,Year,co2
0,2013,118657.47780101467
1,2014,120142.36030045478
2,2015,121627.24279989535
3,2016,123112.12529933546
4,2017,124597.00779877603
5,2018,126081.8902982166
6,2019,127566.77279765671
7,2020,129051.65529709728
8,2021,130536.53779653739
9,2022,132021.42029597796
10,2023,133506.30279541807
11,2024,134991.18529485865
12,2025,136476.06779429922
13,2026,137960.95029373933
14,2027,139445.8327931799
15,2028,140930.71529262
16,2029,142415.59779206058
17,2030,143900.48029150115
18,2031,145385.36279094126
19,2032,146870.24529038183
20,2033,148355.12778982194
21,2034,149840.01028926251
22,2035,151324.89278870262
23,2036,152809.7752881432
24,2037,154294.65778758377
25,2038,155779.54028702388
26,2039,157264.42278646445
27,2040,158749.30528590456
28,2041,160234.18778534513
29,2042,161719.0702847857
30,2043,163203.9527842258
31,2044,164688.83528366638
32,2045,166173.7177831065
33,2046,167658.60028254706
34,2047,169143.48278198717
35,2048,170628.36528142774
36,2049,172113.24778086832
37,2050,173598.13028030843
38,2051,175083.012779749
39,2052,176567.8952791891
40,2053,178052.77777862968
41,2054,179537.6602780698
42,2055,181022.54277751036
43,2056,182507.42527695093
44,2057,183992.30777639104
45,2058,185477.1902758316
46,2059,186962.07277527172
47,2060,188446.9552747123
48,2061,189931.83777415287
49,2062,191416.72027359297
50,2063,192901.60277303355
51,2064,194386.48527247366
52,2065,195871.36777191423
53,2066,197356.25027135434
54,2067,198841.1327707949
55,2068,200326.01527023548
56,2069,201810.8977696756
57,2070,203295.78026911616
58,2071,204780.66276855627
59,2072,206265.54526799684
60,2073,207750.42776743742
61,2074,209235.31026687752
62,2075,210720.1927663181
63,2076,212205.0752657582
64,2077,213689.95776519878
65,2078,215174.8402646389
66,2079,216659.72276407946
67,2080,218144.60526352003
68,2081,219629.48776296014
69,2082,221114.3702624007
70,2083,222599.25276184082
71,2084,224084.1352612814
72,2085,225569.01776072197
73,2086,227053.90026016207
74,2087,228538.78275960265
75,2088,230023.66525904275
76,2089,231508.54775848333
77,2090,232993.43025792344
78,2091,234478.312757364
79,2092,235963.19525680458
80,2093,237448.0777562447
81,2094,238932.96025568526
82,2095,240417.84275512537
83,2096,241902.72525456594
84,2097,243387.60775400652
85,2098,244872.49025344662
86,2099,246357.3727528872
87,2100,247842.2552523273
